s,name
http://www.wikidata.org/entity/Q855004,
http://www.wikidata.org/entity/Q2212014,
http://www.wikidata.org/entity/Q2368359,
http://www.wikidata.org/entity/Q2599049,
http://www.wikidata.org/entity/Q4321959,
http://www.wikidata.org/entity/Q9385772,
http://www.wikidata.org/entity/Q10428442,
http://www.wikidata.org/entity/Q10727267,
http://www.wikidata.org/entity/Q10925459,
http://www.wikidata.org/entity/Q11252966,
http://www.wikidata.org/entity/Q11408433,
http://www.wikidata.org/entity/Q11497576,
http://www.wikidata.org/entity/Q11626999,
http://www.wikidata.org/entity/Q11665464,
http://www.wikidata.org/entity/Q11674981,
http://www.wikidata.org/entity/Q11944027,
http://www.wikidata.org/entity/Q12016720,
http://www.wikidata.org/entity/Q12686874,
http://www.wikidata.org/entity/Q13217504,
http://www.wikidata.org/entity/Q18460157,
http://www.wikidata.org/entity/Q20920675,
http://www.wikidata.org/entity/Q25379306,
http://www.wikidata.org/entity/Q30936256,
http://www.wikidata.org/entity/Q88023758,
http://www.wikidata.org/entity/Q106485200,
http://www.wikidata.org/entity/Q121793039,
http://www.wikidata.org/entity/Q121793067,
http://www.wikidata.org/entity/Q336797,100-year flood
http://www.wikidata.org/entity/Q110762146,2021-2022 Hunga Tonga–Hunga Haʻapai eruption series
http://www.wikidata.org/entity/Q110567218,2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami
http://www.wikidata.org/entity/Q117483295,2023 Canada ice storm
http://www.wikidata.org/entity/Q849463,Ansei Great Earthquakes
http://www.wikidata.org/entity/Q63100492,"Atlantic North, Eastern and Central Pacific Tropical Cyclones"
http://www.wikidata.org/entity/Q17000924,Australian east coast low
http://www.wikidata.org/entity/Q1284783,Australian region tropical cyclone
http://www.wikidata.org/entity/Q60753020,Black nor'easter
http://www.wikidata.org/entity/Q1141458,Cape Verde-type hurricane
http://www.wikidata.org/entity/Q1512672,Catatumbo lightning
http://www.wikidata.org/entity/Q63100559,Category 1 hurricane
http://www.wikidata.org/entity/Q63100584,Category 2 hurricane
http://www.wikidata.org/entity/Q63100595,Category 3 hurricane
http://www.wikidata.org/entity/Q63100601,Category 4 hurricane
http://www.wikidata.org/entity/Q63100611,Category 5 hurricane
http://www.wikidata.org/entity/Q1144521,Cordonazo wind
http://www.wikidata.org/entity/Q5308635,Drought in Australia
http://www.wikidata.org/entity/Q22058413,Drought in California
http://www.wikidata.org/entity/Q120756840,Earthquakes in Korea
http://www.wikidata.org/entity/Q148942,European windstorm
http://www.wikidata.org/entity/Q11615877,Geiyo earthquake
http://www.wikidata.org/entity/Q971897,Harmonic tremor
http://www.wikidata.org/entity/Q1199175,Hawaiian eruption
http://www.wikidata.org/entity/Q11505155,Hyūga-nada earthquake
http://www.wikidata.org/entity/Q3735402,Impact events on Jupiter
http://www.wikidata.org/entity/Q54774983,Intense Typhoon
http://www.wikidata.org/entity/Q30922173,Izu Ōshima Kinkai earthquake
http://www.wikidata.org/entity/Q24039748,Kantō earthquake
http://www.wikidata.org/entity/Q3044889,Kona storm
http://www.wikidata.org/entity/Q1781555,Mediterranean tropical cyclone
http://www.wikidata.org/entity/Q6808361,Megadrought
http://www.wikidata.org/entity/Q18659679,Mild Typhoon
http://www.wikidata.org/entity/Q371794,Missoula Floods
http://www.wikidata.org/entity/Q10875508,Moderate Typhoon
http://www.wikidata.org/entity/Q851627,Multicellular thunderstorm
http://www.wikidata.org/entity/Q17392329,Nankai earthquake
http://www.wikidata.org/entity/Q6963731,Nankai megathrust earthquake
http://www.wikidata.org/entity/Q1732400,Nevera
http://www.wikidata.org/entity/Q2001587,Nor'easter
http://www.wikidata.org/entity/Q7061452,Nor'wester
http://www.wikidata.org/entity/Q2359376,North Atlantic subtropical cyclone
http://www.wikidata.org/entity/Q2547976,North Atlantic tropical cyclone
http://www.wikidata.org/entity/Q27491739,North Indian Ocean tropical cyclone
http://www.wikidata.org/entity/Q3306242,Northeast Pacific tropical cyclone
http://www.wikidata.org/entity/Q63100732,Northwest Pacific tropical cyclone
http://www.wikidata.org/entity/Q106153558,October 2017 North American storm complex
http://www.wikidata.org/entity/Q11462954,Odawara earthquake
http://www.wikidata.org/entity/Q17107574,Pacific Northwest windstorm
http://www.wikidata.org/entity/Q2703194,Peléan eruption
http://www.wikidata.org/entity/Q336052,Pineapple Express
http://www.wikidata.org/entity/Q747501,Plinian eruption
http://www.wikidata.org/entity/Q851828,Pulse storm
http://www.wikidata.org/entity/Q17163226,River bank failure
http://www.wikidata.org/entity/Q1156730,Roof avalanches
http://www.wikidata.org/entity/Q7542357,Slush flow
http://www.wikidata.org/entity/Q858010,South Atlantic tropical cyclone
http://www.wikidata.org/entity/Q1348813,South Kantō earthquake
http://www.wikidata.org/entity/Q1284799,South Pacific tropical cyclone
http://www.wikidata.org/entity/Q27491742,South-West Indian Ocean tropical cyclone
http://www.wikidata.org/entity/Q611880,Strombolian eruption
http://www.wikidata.org/entity/Q1060842,Surtseyan eruption
http://www.wikidata.org/entity/Q97377287,Tōhoku crop failure
http://www.wikidata.org/entity/Q851560,Tōkai earthquake
http://www.wikidata.org/entity/Q21655593,Tōkai-Tōnankai-Nankai earthquake
http://www.wikidata.org/entity/Q17392370,Tōnankai earthquake
http://www.wikidata.org/entity/Q115486841,Ultra-Plinian eruption
http://www.wikidata.org/entity/Q110817828,Volcanic eruptions of Sakurajima
http://www.wikidata.org/entity/Q5943937,Vulcanian eruption
http://www.wikidata.org/entity/Q1873,acqua alta
http://www.wikidata.org/entity/Q308442,aftershock
http://www.wikidata.org/entity/Q2203887,air-mass thunderstorm
http://www.wikidata.org/entity/Q2742948,annular tropical cyclone
http://www.wikidata.org/entity/Q1070332,anticyclonic storm
http://www.wikidata.org/entity/Q4579420,anticyclonic tornado
http://www.wikidata.org/entity/Q7935,avalanche
http://www.wikidata.org/entity/Q4926665,blind thrust earthquake
http://www.wikidata.org/entity/Q205418,blizzard
http://www.wikidata.org/entity/Q1946791,bog slide
http://www.wikidata.org/entity/Q1572791,buran
http://www.wikidata.org/entity/Q60750874,buried rupture earthquake
http://www.wikidata.org/entity/Q63171248,category 1 tropical cyclone
http://www.wikidata.org/entity/Q63183636,category 2 tropical cyclone
http://www.wikidata.org/entity/Q63183653,category 3 severe tropical cyclone
http://www.wikidata.org/entity/Q63183687,category 4 severe tropical cyclone
http://www.wikidata.org/entity/Q63183721,category 5 severe tropical cyclone
http://www.wikidata.org/entity/Q5073763,characteristic earthquake
http://www.wikidata.org/entity/Q112577588,cliff collapse
http://www.wikidata.org/entity/Q5138350,coastal flood
http://www.wikidata.org/entity/Q11395325,cold disaster
http://www.wikidata.org/entity/Q585968,cold-core low
http://www.wikidata.org/entity/Q31090043,collapse of slope
http://www.wikidata.org/entity/Q11395473,crop failure
http://www.wikidata.org/entity/Q3697232,cryoseism
http://www.wikidata.org/entity/Q79602,cyclone
http://www.wikidata.org/entity/Q63106520,cyclonic storm
http://www.wikidata.org/entity/Q1484123,debris avalanche
http://www.wikidata.org/entity/Q63106482,deep depression
http://www.wikidata.org/entity/Q17006934,deep-focus earthquake
http://www.wikidata.org/entity/Q11559966,deep-seated landslide
http://www.wikidata.org/entity/Q134052,deluge myth
http://www.wikidata.org/entity/Q63106470,depression
http://www.wikidata.org/entity/Q3023711,derecho
http://www.wikidata.org/entity/Q5300157,doublet earthquake
http://www.wikidata.org/entity/Q43059,drought
http://www.wikidata.org/entity/Q5308639,drought in the United Kingdom
http://www.wikidata.org/entity/Q118121339,drought resilience
http://www.wikidata.org/entity/Q5309608,dry thunderstorm
http://www.wikidata.org/entity/Q182878,dust storm
http://www.wikidata.org/entity/Q7944,earthquake
http://www.wikidata.org/entity/Q11441818,earthquake disaster
http://www.wikidata.org/entity/Q112158455,earthquake doublet
http://www.wikidata.org/entity/Q3510594,earthquake in Japan
http://www.wikidata.org/entity/Q1772541,earthquake in New Zealand
http://www.wikidata.org/entity/Q105525772,earthquake in Vanuatu
http://www.wikidata.org/entity/Q114041309,earthquake sequence
http://www.wikidata.org/entity/Q5963817,earthquakes in Tabriz
http://www.wikidata.org/entity/Q23828916,east off Chiba earthquake
http://www.wikidata.org/entity/Q1296340,effusive eruption
http://www.wikidata.org/entity/Q1321886,explosive eruption
http://www.wikidata.org/entity/Q5422262,extraterrestrial vortex
http://www.wikidata.org/entity/Q1063457,extratropical cyclone
http://www.wikidata.org/entity/Q5422269,extratropical storm surge
http://www.wikidata.org/entity/Q63183392,extremely severe cyclonic storm
http://www.wikidata.org/entity/Q1418211,fire whirl
http://www.wikidata.org/entity/Q111575772,flash drought
http://www.wikidata.org/entity/Q860333,flash flood
http://www.wikidata.org/entity/Q8068,flood
http://www.wikidata.org/entity/Q3223176,flood
http://www.wikidata.org/entity/Q5460118,floods in Afghanistan
http://www.wikidata.org/entity/Q20446839,floods in Malaysia
http://www.wikidata.org/entity/Q5460127,floods in Thailand
http://www.wikidata.org/entity/Q950713,foreshock
http://www.wikidata.org/entity/Q2627617,freshet
http://www.wikidata.org/entity/Q2743368,genpatsu-shinsai
http://www.wikidata.org/entity/Q1521440,gharra
http://www.wikidata.org/entity/Q3984731,glacial earthquake
http://www.wikidata.org/entity/Q3254417,glacier lake outburst flood
http://www.wikidata.org/entity/Q1930313,gustnado
http://www.wikidata.org/entity/Q1567028,haboob
http://www.wikidata.org/entity/Q61071643,hailstorm
http://www.wikidata.org/entity/Q11282074,heavy snow
http://www.wikidata.org/entity/Q1038866,historic eruptions of Mount Fuji
http://www.wikidata.org/entity/Q107450755,historical earthquake
http://www.wikidata.org/entity/Q34439356,hurricane
http://www.wikidata.org/entity/Q1640984,hypercane
http://www.wikidata.org/entity/Q304958,ice storm
http://www.wikidata.org/entity/Q463796,impact event
http://www.wikidata.org/entity/Q3032301,impact winter
http://www.wikidata.org/entity/Q1394636,induced seismicity
http://www.wikidata.org/entity/Q63182478,intense tropical cyclone
http://www.wikidata.org/entity/Q31178857,intermediate-depth earthquake
http://www.wikidata.org/entity/Q1117987,interplate earthquake
http://www.wikidata.org/entity/Q2737176,intraplate earthquake
http://www.wikidata.org/entity/Q47212,lahar
http://www.wikidata.org/entity/Q1969483,lake-effect snow
http://www.wikidata.org/entity/Q167903,landslide
http://www.wikidata.org/entity/Q13418630,landspout
http://www.wikidata.org/entity/Q29575458,last volcanic eruption
http://www.wikidata.org/entity/Q11387245,lateral eruption
http://www.wikidata.org/entity/Q925246,limnic eruption
http://www.wikidata.org/entity/Q6624990,locust plague
http://www.wikidata.org/entity/Q6676015,loose snow avalanche
http://www.wikidata.org/entity/Q109364859,low-frequency earthquake
http://www.wikidata.org/entity/Q16643332,lunar impact
http://www.wikidata.org/entity/Q115486763,magmatic eruption
http://www.wikidata.org/entity/Q11521044,mainshock
http://www.wikidata.org/entity/Q59310748,marsquake
http://www.wikidata.org/entity/Q33093695,mega droughts in western North America
http://www.wikidata.org/entity/Q727990,megathrust earthquake
http://www.wikidata.org/entity/Q117843793,megathrust earthquake along the Japan Trench and the Chishima Trench
http://www.wikidata.org/entity/Q583313,megatsunami
http://www.wikidata.org/entity/Q6823473,meteorological disaster
http://www.wikidata.org/entity/Q6839492,microearthquake
http://www.wikidata.org/entity/Q1303250,microseism
http://www.wikidata.org/entity/Q63170831,moderate tropical storm
http://www.wikidata.org/entity/Q27761660,mountain storm
http://www.wikidata.org/entity/Q175768,mudflow
http://www.wikidata.org/entity/Q11639848,multi-segment earthquake
http://www.wikidata.org/entity/Q6934978,multiple-vortex tornado
http://www.wikidata.org/entity/Q16147386,natural disaster in Japan
http://www.wikidata.org/entity/Q113549847,non-water flood
http://www.wikidata.org/entity/Q11453672,northern Miyagi earthquake
http://www.wikidata.org/entity/Q17210336,northern off Sanriku earthquake
http://www.wikidata.org/entity/Q11496705,off Bōsō earthquake
http://www.wikidata.org/entity/Q11593211,off Fukushima earthquake
http://www.wikidata.org/entity/Q11617366,off Ibaraki earthquake
http://www.wikidata.org/entity/Q121832207,off Miyagi earthquake
http://www.wikidata.org/entity/Q121832475,off Nemuro Peninsula earthquake
http://www.wikidata.org/entity/Q7446977,off Sanriku earthquake
http://www.wikidata.org/entity/Q23828704,off Tokachi earthquake
http://www.wikidata.org/entity/Q3612702,outburst flood
http://www.wikidata.org/entity/Q11410991,paleoearthquake
http://www.wikidata.org/entity/Q117732463,paleotsunami
http://www.wikidata.org/entity/Q114309591,paroxysmal eruption
http://www.wikidata.org/entity/Q1067217,phreatic eruption
http://www.wikidata.org/entity/Q1639789,phreatomagmatic eruption
http://www.wikidata.org/entity/Q1197111,polar vortex
http://www.wikidata.org/entity/Q7233594,post-tropical cyclone
http://www.wikidata.org/entity/Q7236020,powder snow avalanche
http://www.wikidata.org/entity/Q7239958,prehistoric tsunami
http://www.wikidata.org/entity/Q1368294,purga
http://www.wikidata.org/entity/Q7312186,remotely triggered earthquake
http://www.wikidata.org/entity/Q55738157,reservoir induced earthquake
http://www.wikidata.org/entity/Q2369493,river overflow
http://www.wikidata.org/entity/Q109359898,river tsunami
http://www.wikidata.org/entity/Q5654036,rockfall
http://www.wikidata.org/entity/Q2924824,rockslide
http://www.wikidata.org/entity/Q7426097,satellite tornado
http://www.wikidata.org/entity/Q112578022,sediment disaster
http://www.wikidata.org/entity/Q63106574,severe cyclonic storm
http://www.wikidata.org/entity/Q11069306,severe tropical storm
http://www.wikidata.org/entity/Q96049699,severe tropical storm
http://www.wikidata.org/entity/Q112578442,shallow landslide
http://www.wikidata.org/entity/Q31179217,shallow-focus earthquake
http://www.wikidata.org/entity/Q7535817,skipping tornado
http://www.wikidata.org/entity/Q3574985,slide
http://www.wikidata.org/entity/Q7542104,slow earthquake
http://www.wikidata.org/entity/Q1136525,snow storm
http://www.wikidata.org/entity/Q14633867,snowsquall
http://www.wikidata.org/entity/Q841225,squall line
http://www.wikidata.org/entity/Q383606,steam devil
http://www.wikidata.org/entity/Q81054,storm
http://www.wikidata.org/entity/Q7620194,storm cell
http://www.wikidata.org/entity/Q121742,storm surge
http://www.wikidata.org/entity/Q71469629,stormquake
http://www.wikidata.org/entity/Q358275,sturzstrom
http://www.wikidata.org/entity/Q15977935,subaerial eruption
http://www.wikidata.org/entity/Q610781,subglacial eruption
http://www.wikidata.org/entity/Q2799675,submarine earthquake
http://www.wikidata.org/entity/Q2546109,submarine eruption
http://www.wikidata.org/entity/Q5975740,submarine landslide
http://www.wikidata.org/entity/Q2331851,subtropical cyclone
http://www.wikidata.org/entity/Q63183538,super cyclonic storm
http://www.wikidata.org/entity/Q15941028,super typhoon
http://www.wikidata.org/entity/Q747894,supercell
http://www.wikidata.org/entity/Q7644132,supershear earthquake
http://www.wikidata.org/entity/Q4257528,teleseism
http://www.wikidata.org/entity/Q7696893,teletsunami
http://www.wikidata.org/entity/Q120082690,tempest
http://www.wikidata.org/entity/Q1057792,thundersnow
http://www.wikidata.org/entity/Q2857578,thunderstorm
http://www.wikidata.org/entity/Q28231765,tidal flooding
http://www.wikidata.org/entity/Q11321284,toppling failure
http://www.wikidata.org/entity/Q8081,tornado
http://www.wikidata.org/entity/Q7826028,tornadoes of 1988
http://www.wikidata.org/entity/Q8092,tropical cyclone
http://www.wikidata.org/entity/Q16172167,tropical cyclone
http://www.wikidata.org/entity/Q96049475,tropical depression
http://www.wikidata.org/entity/Q96053724,tropical depression
http://www.wikidata.org/entity/Q96096134,tropical depression
http://www.wikidata.org/entity/Q18650988,tropical depression
http://www.wikidata.org/entity/Q96052470,tropical disturbance
http://www.wikidata.org/entity/Q15942391,tropical disturbance
http://www.wikidata.org/entity/Q96053756,tropical storm
http://www.wikidata.org/entity/Q96096178,tropical storm
http://www.wikidata.org/entity/Q3157041,tropical storm
http://www.wikidata.org/entity/Q8070,tsunami
http://www.wikidata.org/entity/Q7850171,tsunami earthquake
http://www.wikidata.org/entity/Q7850174,tsunami in lake
http://www.wikidata.org/entity/Q96096093,typhoon
http://www.wikidata.org/entity/Q140588,typhoon
http://www.wikidata.org/entity/Q15909735,urban flooding
http://www.wikidata.org/entity/Q63182937,very intense tropical cyclone
http://www.wikidata.org/entity/Q63108234,very severe cyclonic storm
http://www.wikidata.org/entity/Q96096102,very strong typhoon
http://www.wikidata.org/entity/Q12718652,violent storm
http://www.wikidata.org/entity/Q96096109,violent typhoon
http://www.wikidata.org/entity/Q7692360,volcanic eruption
http://www.wikidata.org/entity/Q106797758,volcanic tsunami
http://www.wikidata.org/entity/Q3541302,volcano tectonic earthquake
http://www.wikidata.org/entity/Q1022922,waterspout
http://www.wikidata.org/entity/Q57013081,weather anomaly
http://www.wikidata.org/entity/Q1192097,whirlwind
http://www.wikidata.org/entity/Q113488705,wildfire smoke
http://www.wikidata.org/entity/Q75079023,winter storm
http://www.wikidata.org/entity/Q63170811,zone of disturbed weather
http://www.wikidata.org/entity/Q1262272,zud
